NTAX,STRHT,SRATE,NCHR,REPL,MTHD,DOLLO,SECS
10,2000000,1e-06,5000,15,paup-dollo-hsearch,5712,0.766
10,2000000,1e-06,5000,16,paup-dollo-fast-hsearch-first,6211,0.825
10,2000000,1e-06,5000,16,dollo-cdp-fast,6211,1.3969999999999998
10,2000000,1e-06,5000,16,paup-dollo-hsearch-first,6211,0.786
10,2000000,1e-06,5000,16,paup-dollo-hsearch,6211,0.786
10,2000000,1e-06,5000,17,paup-dollo-fast-hsearch-first,6221,0.822
10,2000000,1e-06,5000,17,dollo-cdp-fast,6221,1.331
10,2000000,1e-06,5000,17,paup-dollo-hsearch-first,6221,0.846
10,2000000,1e-06,5000,17,paup-dollo-hsearch,6221,0.846
10,2000000,1e-06,5000,18,paup-dollo-fast-hsearch-first,5851,0.826
10,2000000,1e-06,5000,18,dollo-cdp-fast,5851,1.415
10,2000000,1e-06,5000,18,paup-dollo-hsearch-first,5851,0.777
10,2000000,1e-06,5000,18,paup-dollo-hsearch,5851,0.777
10,2000000,1e-06,5000,19,paup-dollo-fast-hsearch-first,5949,0.844
10,2000000,1e-06,5000,19,dollo-cdp-fast,5949,1.401
10,2000000,1e-06,5000,19,paup-dollo-hsearch-first,5949,0.837
10,2000000,1e-06,5000,19,paup-dollo-hsearch,5949,0.837
10,2000000,1e-06,5000,20,paup-dollo-fast-hsearch-first,6298,0.796
10,2000000,1e-06,5000,20,dollo-cdp-fast,6298,1.338
10,2000000,1e-06,5000,20,paup-dollo-hsearch-first,6298,0.805
10,2000000,1e-06,5000,20,paup-dollo-hsearch,6298,0.805
10,2000000,1e-06,5000,21,paup-dollo-fast-hsearch-first,6462,0.779
10,2000000,1e-06,5000,21,dollo-cdp-fast,6462,1.294
10,2000000,1e-06,5000,21,paup-dollo-hsearch-first,6462,0.23
10,2000000,1e-06,5000,21,paup-dollo-hsearch,6462,0.23
10,2000000,1e-06,5000,22,paup-dollo-fast-hsearch-first,6273,0.836
10,2000000,1e-06,5000,22,dollo-cdp-fast,6273,1.4449999999999998
10,2000000,1e-06,5000,22,paup-dollo-hsearch-first,6273,0.78
10,2000000,1e-06,5000,22,paup-dollo-hsearch,6273,0.78
10,2000000,1e-06,5000,23,paup-dollo-fast-hsearch-first,6025,0.838
10,2000000,1e-06,5000,23,dollo-cdp-fast,6025,1.439
10,2000000,1e-06,5000,23,paup-dollo-hsearch-first,6025,0.845
10,2000000,1e-06,5000,23,paup-dollo-hsearch,6025,0.845
10,2000000,1e-06,5000,24,paup-dollo-fast-hsearch-first,6478,0.245
10,2000000,1e-06,5000,24,dollo-cdp-fast,6478,0.86
10,2000000,1e-06,5000,24,paup-dollo-hsearch-first,6478,0.888
10,2000000,1e-06,5000,24,paup-dollo-hsearch,6478,0.888
10,2000000,1e-06,5000,25,paup-dollo-fast-hsearch-first,6138,0.854
10,2000000,1e-06,5000,25,dollo-cdp-fast,6138,1.346
10,2000000,1e-06,5000,25,paup-dollo-hsearch-first,6138,0.855
10,2000000,1e-06,5000,25,paup-dollo-hsearch,6138,0.855
10,2000000,1e-06,10000,1,paup-dollo-fast-hsearch-first,11964,0.848
10,2000000,1e-06,10000,1,dollo-cdp-fast,11964,1.615
10,2000000,1e-06,10000,1,paup-dollo-hsearch-first,11964,0.86
10,2000000,1e-06,10000,1,paup-dollo-hsearch,11964,0.86
10,2000000,1e-06,10000,2,paup-dollo-fast-hsearch-first,11776,0.803
10,2000000,1e-06,10000,2,dollo-cdp-fast,11776,1.56
10,2000000,1e-06,10000,2,paup-dollo-hsearch-first,11776,0.852
10,2000000,1e-06,10000,2,paup-dollo-hsearch,11776,0.852
10,2000000,1e-06,10000,3,paup-dollo-fast-hsearch-first,12529,0.85
10,2000000,1e-06,10000,3,dollo-cdp-fast,12529,1.5
10,2000000,1e-06,10000,3,paup-dollo-hsearch-first,12529,0.824
10,2000000,1e-06,10000,3,paup-dollo-hsearch,12529,0.824
10,2000000,1e-06,10000,4,paup-dollo-fast-hsearch-first,11427,0.792
10,2000000,1e-06,10000,4,dollo-cdp-fast,11427,1.491
10,2000000,1e-06,10000,4,paup-dollo-hsearch-first,11427,0.763
10,2000000,1e-06,10000,4,paup-dollo-hsearch,11427,0.763
10,2000000,1e-06,10000,5,paup-dollo-fast-hsearch-first,11935,0.855
10,2000000,1e-06,10000,5,dollo-cdp-fast,11935,1.569
10,2000000,1e-06,10000,5,paup-dollo-hsearch-first,11935,0.862
10,2000000,1e-06,10000,5,paup-dollo-hsearch,11935,0.862
10,2000000,1e-06,10000,6,paup-dollo-fast-hsearch-first,12274,0.298
10,2000000,1e-06,10000,6,dollo-cdp-fast,12274,1.026
10,2000000,1e-06,10000,6,paup-dollo-hsearch-first,12274,0.861
10,2000000,1e-06,10000,6,paup-dollo-hsearch,12274,0.861
10,2000000,1e-06,10000,7,paup-dollo-fast-hsearch-first,11462,0.845
10,2000000,1e-06,10000,7,dollo-cdp-fast,11462,1.548
10,2000000,1e-06,10000,7,paup-dollo-hsearch-first,11462,0.852
10,2000000,1e-06,10000,7,paup-dollo-hsearch,11462,0.852
10,2000000,1e-06,10000,8,paup-dollo-fast-hsearch-first,14720,0.862
10,2000000,1e-06,10000,8,dollo-cdp-fast,14720,1.6640000000000001
10,2000000,1e-06,10000,8,paup-dollo-hsearch-first,14720,0.805
10,2000000,1e-06,10000,8,paup-dollo-hsearch,14720,0.805
10,2000000,1e-06,10000,9,paup-dollo-fast-hsearch-first,11882,0.844
10,2000000,1e-06,10000,9,dollo-cdp-fast,11882,1.525
10,2000000,1e-06,10000,9,paup-dollo-hsearch-first,11882,0.26
10,2000000,1e-06,10000,9,paup-dollo-hsearch,11882,0.26
10,2000000,1e-06,10000,10,paup-dollo-fast-hsearch-first,13388,0.84
10,2000000,1e-06,10000,10,dollo-cdp-fast,13388,1.625
10,2000000,1e-06,10000,10,paup-dollo-hsearch-first,13388,0.31
10,2000000,1e-06,10000,10,paup-dollo-hsearch,13388,0.31
10,2000000,1e-06,10000,11,paup-dollo-fast-hsearch-first,13699,0.856
10,2000000,1e-06,10000,11,dollo-cdp-fast,13699,1.6360000000000001
10,2000000,1e-06,10000,11,paup-dollo-hsearch-first,13699,0.824
10,2000000,1e-06,10000,11,paup-dollo-hsearch,13699,0.824
10,2000000,1e-06,10000,12,paup-dollo-fast-hsearch-first,12571,0.788
10,2000000,1e-06,10000,12,dollo-cdp-fast,12571,1.433
10,2000000,1e-06,10000,12,paup-dollo-hsearch-first,12571,0.764
10,2000000,1e-06,10000,12,paup-dollo-hsearch,12571,0.764
10,2000000,1e-06,10000,13,paup-dollo-fast-hsearch-first,14273,0.763
10,2000000,1e-06,10000,13,dollo-cdp-fast,14273,1.553
10,2000000,1e-06,10000,13,paup-dollo-hsearch-first,14273,0.249
10,2000000,1e-06,10000,13,paup-dollo-hsearch,14273,0.249
10,2000000,1e-06,10000,14,paup-dollo-fast-hsearch-first,14217,0.83
10,2000000,1e-06,10000,14,dollo-cdp-fast,14217,1.523
10,2000000,1e-06,10000,14,paup-dollo-hsearch-first,14217,0.813
10,2000000,1e-06,10000,14,paup-dollo-hsearch,14217,0.813
10,2000000,1e-06,10000,15,paup-dollo-fast-hsearch-first,11441,0.819
10,2000000,1e-06,10000,15,dollo-cdp-fast,11441,1.52
10,2000000,1e-06,10000,15,paup-dollo-hsearch-first,11441,0.24
10,2000000,1e-06,10000,15,paup-dollo-hsearch,11441,0.24
10,2000000,1e-06,10000,16,paup-dollo-fast-hsearch-first,12412,0.832
