NTAX,STRHT,SRATE,NCHR,REPL,MTHD,NODE,real,user,sys
model,100,2000000,0.000001,50000,23,paup-dollo-hsearch,cbcb18,16m14.486s,16m9.910s,0m0.009s
model,100,2000000,0.000001,50000,24,dollo-cdp-fast,cbcb17,0m4.560s,0m3.211s,0m0.025s
model,100,2000000,0.000001,50000,24,paup-dollo-fast-hsearch,cbcb17,0m27.281s,0m26.401s,0m0.008s
model,100,2000000,0.000001,50000,24,paup-dollo-hsearch,cbcb18,15m3.650s,14m59.939s,0m0.005s
model,100,2000000,0.000001,50000,25,dollo-cdp-fast,cbcb17,0m5.451s,0m4.125s,0m0.028s
model,100,2000000,0.000001,50000,25,paup-dollo-fast-hsearch,cbcb17,0m33.125s,0m32.155s,0m0.009s
model,100,2000000,0.000001,50000,25,paup-dollo-hsearch,cbcb17,16m39.730s,16m34.517s,0m0.006s
model,100,2000000,0.000001,5000,02,dollo-cdp-fast,cbcb02,0m1.639s,0m0.399s,0m0.008s
model,100,2000000,0.000001,5000,02,paup-dollo-fast-hsearch,cbcb02,0m6.765s,0m5.998s,0m0.008s
model,100,2000000,0.000001,5000,02,paup-dollo-hsearch,cbcb21,3m2.453s,3m0.806s,0m0.062s
model,100,2000000,0.000001,5000,03,dollo-cdp-fast,cbcb19,0m1.586s,0m0.342s,0m0.005s
model,100,2000000,0.000001,5000,03,paup-dollo-fast-hsearch,cbcb19,0m7.482s,0m6.735s,0m0.007s
model,100,2000000,0.000001,5000,03,paup-dollo-hsearch,cbcb21,2m34.876s,2m33.406s,0m0.026s
model,100,2000000,0.000001,5000,04,dollo-cdp-fast,cbcb19,0m1.596s,0m0.305s,0m0.004s
model,100,2000000,0.000001,5000,04,paup-dollo-fast-hsearch,cbcb19,0m6.187s,0m5.440s,0m0.009s
model,100,2000000,0.000001,5000,04,paup-dollo-hsearch,cbcb21,3m20.277s,3m18.692s,0m0.008s
model,100,2000000,0.000001,5000,05,dollo-cdp-fast,cbcb02,0m1.811s,0m0.385s,0m0.004s
model,100,2000000,0.000001,5000,05,paup-dollo-fast-hsearch,cbcb02,0m5.213s,0m4.463s,0m0.008s
