MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,50000,Rep3,paup-dollo-fast-hsearch-first,62513
Palaeognathae,50000,Rep3,paup-dollo-hsearch-first,62513
Palaeognathae,50000,Rep4,dollo-cdp-fast,62471
Palaeognathae,50000,Rep4,paup-dollo-bnb-first,62471
Palaeognathae,50000,Rep4,paup-dollo-fast-hsearch-first,62471
Palaeognathae,50000,Rep4,paup-dollo-hsearch-first,62471
Palaeognathae,50000,Rep5,dollo-cdp-fast,62383
Palaeognathae,50000,Rep5,paup-dollo-bnb-first,62383
Palaeognathae,50000,Rep5,paup-dollo-fast-hsearch-first,62383
Palaeognathae,50000,Rep5,paup-dollo-hsearch-first,62383
Palaeognathae,50000,Rep6,dollo-cdp-fast,62422
Palaeognathae,50000,Rep6,paup-dollo-bnb-first,62422
Palaeognathae,50000,Rep6,paup-dollo-fast-hsearch-first,62422
Palaeognathae,50000,Rep6,paup-dollo-hsearch-first,62422
Palaeognathae,50000,Rep7,dollo-cdp-fast,62356
Palaeognathae,50000,Rep7,paup-dollo-bnb-first,62356
Palaeognathae,50000,Rep7,paup-dollo-fast-hsearch-first,62356
Palaeognathae,50000,Rep7,paup-dollo-hsearch-first,62356
Palaeognathae,50000,Rep8,dollo-cdp-fast,62503
Palaeognathae,50000,Rep8,paup-dollo-bnb-first,62503
Palaeognathae,50000,Rep8,paup-dollo-fast-hsearch-first,62503
Palaeognathae,50000,Rep8,paup-dollo-hsearch-first,62503
Palaeognathae,50000,Rep9,dollo-cdp-fast,62425
Palaeognathae,50000,Rep9,paup-dollo-bnb-first,62425
Palaeognathae,50000,Rep9,paup-dollo-fast-hsearch-first,62425
Palaeognathae,50000,Rep9,paup-dollo-hsearch-first,62425
Palaeognathae,5000,Rep10,dollo-cdp-fast,6166
Palaeognathae,5000,Rep10,paup-dollo-bnb-first,6166
Palaeognathae,5000,Rep10,paup-dollo-fast-hsearch-first,6166
Palaeognathae,5000,Rep10,paup-dollo-hsearch-first,6166
Palaeognathae,5000,Rep11,dollo-cdp-fast,6292
Palaeognathae,5000,Rep11,paup-dollo-bnb-first,6292
Palaeognathae,5000,Rep11,paup-dollo-fast-hsearch-first,6292
Palaeognathae,5000,Rep11,paup-dollo-hsearch-first,6292
Palaeognathae,5000,Rep12,dollo-cdp-fast,6283
Palaeognathae,5000,Rep12,paup-dollo-bnb-first,6283
Palaeognathae,5000,Rep12,paup-dollo-fast-hsearch-first,6283
Palaeognathae,5000,Rep12,paup-dollo-hsearch-first,6283
Palaeognathae,5000,Rep13,dollo-cdp-fast,6269
Palaeognathae,5000,Rep13,paup-dollo-bnb-first,6269
Palaeognathae,5000,Rep13,paup-dollo-fast-hsearch-first,6269
Palaeognathae,5000,Rep13,paup-dollo-hsearch-first,6269
Palaeognathae,5000,Rep14,dollo-cdp-fast,6223
Palaeognathae,5000,Rep14,paup-dollo-bnb-first,6223
Palaeognathae,5000,Rep14,paup-dollo-fast-hsearch-first,6226
Palaeognathae,5000,Rep14,paup-dollo-hsearch-first,6223
Palaeognathae,5000,Rep15,dollo-cdp-fast,6226
Palaeognathae,5000,Rep15,paup-dollo-bnb-first,6226
Palaeognathae,5000,Rep15,paup-dollo-fast-hsearch-first,6226
Palaeognathae,5000,Rep15,paup-dollo-hsearch-first,6226
Palaeognathae,5000,Rep16,dollo-cdp-fast,6173
Palaeognathae,5000,Rep16,paup-dollo-bnb-first,6173
Palaeognathae,5000,Rep16,paup-dollo-fast-hsearch-first,6173
Palaeognathae,5000,Rep16,paup-dollo-hsearch-first,6173
Palaeognathae,5000,Rep17,dollo-cdp-fast,6356
Palaeognathae,5000,Rep17,paup-dollo-bnb-first,6356
Palaeognathae,5000,Rep17,paup-dollo-fast-hsearch-first,6356
